alpha,beta,sigma,x0_alpha,x0_beta,x0_sigma,func_obj,rmse
17646.533121504064,2515.970196525586,17.804663535201865,17666.666666666664,110.0,13.5,50171.61,23.480554094135066
17649.026488908534,2516.277860913728,17.804765343428386,17666.666666666664,110.0,19.0,50171.23,23.48046388962221
17648.096286200987,2516.2293594670264,17.804629569563723,17666.666666666664,110.0,24.5,50171.37,23.480497522899192
17645.260597740795,2515.8151044773344,17.804615395482347,17666.666666666664,110.0,30.0,50171.81,23.48060014237336
17643.169542474658,2515.4799712615663,17.804649037631645,17666.666666666664,155.0,8.0,50172.13,23.480675876121765
17644.246322995117,2515.7716417528873,17.804450454981296,17666.666666666664,155.0,13.5,50171.97,23.48063686005638
17644.138546003243,2515.734818797075,17.804481498278804,17666.666666666664,155.0,19.0,50171.98,23.48064075260264
17614.563943383848,2511.7534851600817,17.803831506718097,17666.666666666664,155.0,24.5,50176.57,23.481713413753415
17637.05715615963,2514.7182134761138,17.804422591513767,17666.666666666664,155.0,30.0,50173.08,23.480897223767794
17638.554205611646,2515.0354418341667,17.804273154182958,17666.666666666664,200.0,8.0,50172.85,23.48084298965755
17639.316207372034,2515.0900304307415,17.80436915602026,17666.666666666664,200.0,13.5,50172.73,23.48081536578843
17589.192443843884,2508.3877840817213,17.803200420612157,17666.666666666664,200.0,19.0,50180.52,23.48263696042829
17588.77171703035,2508.359943755751,17.803144233976262,17666.666666666664,200.0,24.5,50180.58,23.4826522590871
17639.102633653467,2514.960488682773,17.80451407880792,17666.666666666664,200.0,30.0,50172.76,23.480823142221634
22943.169240694457,3206.9201841647746,17.92099043750593,23055.555555555555,20.0,8.0,49564.31,23.338011219076456
23027.863277664175,3218.1228365604634,17.922248440300724,23055.555555555555,20.0,13.5,49557.15,23.33632477227757
23040.257952818953,3219.7422374152015,17.922456485559636,23055.555555555555,20.0,19.0,49556.11,23.33607913272665
22990.451133076178,3213.131372207504,17.921747507915747,23055.555555555555,20.0,24.5,49560.31,23.337068019119695
23026.60405636821,3217.939348602604,17.922252152880628,23055.555555555555,20.0,30.0,49557.25,23.33634974204663
23035.878258239412,3219.1359551711034,17.922423851967302,23055.555555555555,65.0,8.0,49556.47,23.336165893441933
23030.363990805286,3218.3946039953053,17.92235607316598,23055.555555555555,65.0,13.5,49556.94,23.336275187730983
23028.59773336344,3218.0815271437373,17.92242607307405,23055.555555555555,65.0,19.0,49557.09,23.33631023943585
23033.411510723232,3218.650022532824,17.92257955493409,23055.555555555555,65.0,24.5,49556.68,23.33621486069876
23044.316806355313,3220.187871137935,17.922626868579655,23055.555555555555,65.0,30.0,49555.76,23.33599876357182
22996.909756183028,3213.9939076550277,17.92183567874394,23055.555555555555,110.0,8.0,49559.76,23.336939512951147
22989.399406444238,3212.91712949378,17.921822138224513,23055.555555555555,110.0,13.5,49560.39,23.33708900392281
23021.275867492765,3217.1878616316194,17.922228814838736,23055.555555555555,110.0,19.0,49557.7,23.336455445518062
23030.6401736722,3218.4151321018358,17.92238070585239,23055.555555555555,110.0,24.5,49556.92,23.33626971534508
23030.836549980366,3218.474850085446,17.92234167951311,23055.555555555555,110.0,30.0,49556.9,23.336265817756587
23018.014414470337,3216.7812237289722,17.922150531067455,23055.555555555555,155.0,8.0,49557.98,23.3365201679143
23029.97784037043,3218.326272615796,17.922373571150622,23055.555555555555,155.0,13.5,49556.97,23.336282847390706
